County,FIPS,Population
"Lincoln County, Georgia",13181,7915
"Long County, Georgia",13183,18998
"Lowndes County, Georgia",13185,116321
"Lumpkin County, Georgia",13187,32955
"McDuffie County, Georgia",13189,21531
"McIntosh County, Georgia",13191,14340
"Macon County, Georgia",13193,13143
"Madison County, Georgia",13195,29650
"Marion County, Georgia",13197,8351
"Meriwether County, Georgia",13199,21068
"Miller County, Georgia",13201,5686
"Mitchell County, Georgia",13205,22192
"Monroe County, Georgia",13207,27520
"Montgomery County, Georgia",13209,9193
"Morgan County, Georgia",13211,18853
"Murray County, Georgia",13213,39921
"Muscogee County, Georgia",13215,194160
"Newton County, Georgia",13217,109541
"Oconee County, Georgia",13219,39272
"Oglethorpe County, Georgia",13221,15054
"Paulding County, Georgia",13223,164044
"Peach County, Georgia",13225,27297
"Pickens County, Georgia",13227,31980
"Pierce County, Georgia",13229,19389
"Pike County, Georgia",13231,18634
"Polk County, Georgia",13233,42470
"Pulaski County, Georgia",13235,11069
"Putnam County, Georgia",13237,21809
"Quitman County, Georgia",13239,2279
"Rabun County, Georgia",13241,16867
"Randolph County, Georgia",13243,6833
"Richmond County, Georgia",13245,201554
"Rockdale County, Georgia",13247,90594
"Schley County, Georgia",13249,5236
"Screven County, Georgia",13251,13938
"Seminole County, Georgia",13253,8315
"Spalding County, Georgia",13255,66100
"Stephens County, Georgia",13257,26035
"Stewart County, Georgia",13259,6199
"Sumter County, Georgia",13261,29733
"Talbot County, Georgia",13263,6272
"Taliaferro County, Georgia",13265,1608
"Tattnall County, Georgia",13267,25391
"Taylor County, Georgia",13269,8039
"Telfair County, Georgia",13271,15876
"Terrell County, Georgia",13273,8611
"Thomas County, Georgia",13275,44448
"Tift County, Georgia",13277,40571
"Toombs County, Georgia",13279,26887
"Towns County, Georgia",13281,11852
"Treutlen County, Georgia",13283,6809
"Troup County, Georgia",13285,70034
"Turner County, Georgia",13287,7912
"Twiggs County, Georgia",13289,8188
"Union County, Georgia",13291,24001
"Upson County, Georgia",13293,26215
"Walker County, Georgia",13295,69410
"Walton County, Georgia",13297,93503
"Ware County, Georgia",13299,35680
"Warren County, Georgia",13301,5251
"Washington County, Georgia",13303,20386
"Wayne County, Georgia",13305,29808
"Webster County, Georgia",13307,2611
"Wheeler County, Georgia",13309,7879
"White County, Georgia",13311,29970
"Whitfield County, Georgia",13313,104062
"Wilcox County, Georgia",13315,8812
"Wilkes County, Georgia",13317,9876
"Wilkinson County, Georgia",13319,9036
"Worth County, Georgia",13321,20299
"Hawaii County, Hawaii",15001,200983
"Honolulu County, Hawaii",15003,980080
"Kalawao County, Hawaii",15005,88
"Kauai County, Hawaii",15007,72133
"Maui County, Hawaii",15009,167207
"Ada County, Idaho",16001,469966
"Adams County, Idaho",16003,4250
"Bannock County, Idaho",16005,87138
"Bear Lake County, Idaho",16007,6050
"Benewah County, Idaho",16009,9226
"Bingham County, Idaho",16011,46236
"Blaine County, Idaho",16013,22601
"Boise County, Idaho",16015,7634
"Bonner County, Idaho",16017,44727
"Bonneville County, Idaho",16019,116854
"Boundary County, Idaho",16021,11948
"Butte County, Idaho",16023,2611
"Camas County, Idaho",16025,1127
"Canyon County, Idaho",16027,223499
"Caribou County, Idaho",16029,7060
"Cassia County, Idaho",16031,23864
"Clark County, Idaho",16033,852
"Clearwater County, Idaho",16035,8758
"Custer County, Idaho",16037,4280
"Elmore County, Idaho",16039,27259
"Franklin County, Idaho",16041,13726
"Fremont County, Idaho",16043,13168
"Gem County, Idaho",16045,17634
"Gooding County, Idaho",16047,15196
"Idaho County, Idaho",16049,16513
"Jefferson County, Idaho",16051,29439
"Jerome County, Idaho",16053,24015
"Kootenai County, Idaho",16055,161505
"Latah County, Idaho",16057,40134
"Lemhi County, Idaho",16059,7961
"Lewis County, Idaho",16061,3861
"Lincoln County, Idaho",16063,5360
"Madison County, Idaho",16065,39304
"Minidoka County, Idaho",16067,20825
"Nez Perce County, Idaho",16069,40408
"Oneida County, Idaho",16071,4488
"Owyhee County, Idaho",16073,11693
"Payette County, Idaho",16075,23551
"Power County, Idaho",16077,7768
"Shoshone County, Idaho",16079,12796
"Teton County, Idaho",16081,11640
"Twin Falls County, Idaho",16083,86081
"Valley County, Idaho",16085,11041
"Washington County, Idaho",16087,10161
"Adams County, Illinois",17001,65691
"Alexander County, Illinois",17003,6060
"Bond County, Illinois",17005,16630
"Boone County, Illinois",17007,53577
"Brown County, Illinois",17009,6556
"Bureau County, Illinois",17011,32993
"Calhoun County, Illinois",17013,4802
"Carroll County, Illinois",17015,14312
"Cass County, Illinois",17017,12260
"Champaign County, Illinois",17019,209983
"Christian County, Illinois",17021,32661
"Clark County, Illinois",17023,15596
"Clay County, Illinois",17025,13253
"Clinton County, Illinois",17027,37639
"Coles County, Illinois",17029,50885
"Cook County, Illinois",17031,5180493
"Crawford County, Illinois",17033,18807
"Cumberland County, Illinois",17035,10808
"DeKalb County, Illinois",17037,104143
"De Witt County, Illinois",17039,15769
"Douglas County, Illinois",17041,19479
"DuPage County, Illinois",17043,928589
"Edgar County, Illinois",17045,17360
"Edwards County, Illinois",17047,6392
"Effingham County, Illinois",17049,34208
"Fayette County, Illinois",17051,21416
"Ford County, Illinois",17053,13264
"Franklin County, Illinois",17055,38701
"Fulton County, Illinois",17057,34844
"Gallatin County, Illinois",17059,5058
"Greene County, Illinois",17061,13044
"Grundy County, Illinois",17063,50972
"Hamilton County, Illinois",17065,8163
"Hancock County, Illinois",17067,17844
"Hardin County, Illinois",17069,3910
"Henderson County, Illinois",17071,6709
"Henry County, Illinois",17073,49090
"Iroquois County, Illinois",17075,27604
"Jackson County, Illinois",17077,57419
"Jasper County, Illinois",17079,9611
"Jefferson County, Illinois",17081,37820
"Jersey County, Illinois",17083,21847
"Jo Daviess County, Illinois",17085,21366
"Johnson County, Illinois",17087,12456
"Kane County, Illinois",17089,534216
"Kankakee County, Illinois",17091,110024
"Kendall County, Illinois",17093,127915
"Knox County, Illinois",17095,50112
"Lake County, Illinois",17097,700832
"LaSalle County, Illinois",17099,109430
"Lawrence County, Illinois",17101,15765
"Lee County, Illinois",17103,34223
"Livingston County, Illinois",17105,35761
"Logan County, Illinois",17107,28925
"McDonough County, Illinois",17109,29955
"McHenry County, Illinois",17111,308570
"McLean County, Illinois",17113,172828
"Macon County, Illinois",17115,104712
"Macoupin County, Illinois",17117,45313
"Madison County, Illinois",17119,264461
"Marion County, Illinois",17121,37620
"Marshall County, Illinois",17123,11534
"Mason County, Illinois",17125,13565
"Massac County, Illinois",17127,14080
"Menard County, Illinois",17129,12288
"Mercer County, Illinois",17131,15601
"Monroe County, Illinois",17133,34335
"Montgomery County, Illinois",17135,28601
"Morgan County, Illinois",17137,33976
"Moultrie County, Illinois",17139,14717
"Ogle County, Illinois",17141,50923
"Peoria County, Illinois",17143,180621
"Perry County, Illinois",17145,21174
"Piatt County, Illinois",17147,16396
"Pike County, Illinois",17149,15611
"Pope County, Illinois",17151,4212
"Pulaski County, Illinois",17153,5463
"Putnam County, Illinois",17155,5740
"Randolph County, Illinois",17157,32106
"Richland County, Illinois",17159,15763
"Rock Island County, Illinois",17161,143477
"St. Clair County, Illinois",17163,261059
"Saline County, Illinois",17165,23906
"Sangamon County, Illinois",17167,195348
"Schuyler County, Illinois",17169,6907
"Scott County, Illinois",17171,4926
"Shelby County, Illinois",17173,21741
"Stark County, Illinois",17175,5427
"Stephenson County, Illinois",17177,44753
"Tazewell County, Illinois",17179,132328
"Union County, Illinois",17181,16841
"Vermilion County, Illinois",17183,76806
"Wabash County, Illinois",17185,11549
"Warren County, Illinois",17187,17032
"Washington County, Illinois",17189,13995
"Wayne County, Illinois",17191,16332
"White County, Illinois",17193,13665
"Whiteside County, Illinois",17195,55626
"Will County, Illinois",17197,692310
"Williamson County, Illinois",17199,67056
"Winnebago County, Illinois",17201,284081
"Woodford County, Illinois",17203,38463
"Adams County, Indiana",18001,35636
"Allen County, Indiana",18003,375351
"Bartholomew County, Indiana",18005,82753
"Benton County, Indiana",18007,8653
"Blackford County, Indiana",18009,11930
"Boone County, Indiana",18011,66999
"Brown County, Indiana",18013,15234
"Carroll County, Indiana",18015,20127
"Cass County, Indiana",18017,37955
"Clark County, Indiana",18019,117360
"Clay County, Indiana",18021,26170
"Clinton County, Indiana",18023,32250
"Crawford County, Indiana",18025,10558
"Daviess County, Indiana",18027,33147
"Dearborn County, Indiana",18029,49568
"Decatur County, Indiana",18031,26794
"DeKalb County, Indiana",18033,43226
"Delaware County, Indiana",18035,114772
"Dubois County, Indiana",18037,42565
